gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
1,0,0,0,1,1,1,23,181.4597158,1,1,1.928169268,1.531733697,1
1,1,0,0,1,1,0,28,241.9959185,1,2,1.015279821,1.067772138,0
0,1,1,1,1,12,1,34,114.9607955,9,1,2.64277197,2.492826314,0
0,0,0,0,1,1,1,30,167.0444997,1,7,2.34439526,2.493625766,0
0,1,1,1,1,12,1,29,59.80312654,12,6,2.275885467,2.53118553,0
0,1,0,0,1,12,1,27,234.7699295,11,4,5.41005446,5.368415309,0
1,1,0,0,0,1,1,25,251.45835,1,2,0.955718635,0.365875223,1
0,1,1,1,1,6,0,29,88.90794258,6,1,3.272647096,3.407151016,0
1,1,1,1,1,12,1,29,205.4779368,12,9,2.745098447,2.733828019,0
0,1,1,1,1,12,1,32,258.6483831,12,2,0.927542788,0.928325997,0
1,1,1,0,1,1,0,31,191.386881,1,2,1.818105337,1.822569194,0
1,1,1,1,1,6,0,33,131.5935053,4,2,1.691768584,1.551408958,0
0,0,0,0,1,1,0,23,59.16390793,1,0,0.55693031,0.701643138,1
1,0,0,0,1,1,0,32,301.6247075,1,3,1.208335701,0.696494238,1
0,1,0,0,1,1,0,30,114.7980186,1,2,0.992311766,0.645440714,1
1,0,1,0,1,1,0,31,235.099266,1,1,0.973834469,0.550284908,1
0,1,1,1,1,1,0,25,254.7980336,1,1,0.458255577,0.446561644,0
1,1,0,0,1,12,1,32,231.3415398,10,2,2.303419955,2.284095927,0
0,0,0,0,1,6,0,29,138.799244,6,0,1.872940892,2.012916065,1
1,0,1,0,1,1,1,28,162.5545646,1,1,1.110288457,1.174485533,0
1,1,0,0,1,1,1,34,7.540132677,1,10,2.17161331,2.057809662,0
1,0,1,0,1,1,0,33,85.16550229,1,2,1.162386576,1.171305437,0
0,0,0,0,0,1,0,25,59.88038093,1,0,1.403484464,2.463702783,1
1,0,1,0,1,6,0,29,291.7312754,5,0,0,0,1
0,1,0,0,1,12,1,28,5.865051308,9,7,1.352800436,1.316758784,0
1,1,1,1,1,12,0,28,243.8207003,12,4,0.915233402,0.850286299,0
1,1,1,1,0,1,0,32,161.4740699,1,0,1.700980784,1.340857052,1
0,1,0,0,1,6,0,34,184.6931237,6,7,1.520407158,1.541346331,0
0,1,0,0,1,6,1,27,227.8606334,6,4,2.515823611,2.504537285,0
1,1,0,0,0,1,0,26,73.70488062,1,6,0.770640902,0.447265032,1
1,0,0,0,1,1,0,33,262.7174729,1,9,3.463363567,3.597863048,0
1,1,0,0,1,1,0,32,96.91721283,1,2,1.02494968,0.906517119,1
0,1,0,0,1,1,0,28,226.2314104,1,6,0.485254995,0.398128545,0
0,1,1,1,1,12,0,29,10.80431044,12,2,1.587011611,1.595225003,0
1,1,1,1,1,12,1,35,161.9898472,12,4,2.58638924,2.661294919,0
0,1,0,0,1,1,0,25,322.6565479,1,3,2.086680187,2.207409811,0
1,1,0,0,1,6,1,30,172.1994374,6,3,2.057350614,2.02621482,0
1,0,1,0,0,12,0,29,89.6577945,12,1,3.521502051,3.368136868,0
1,1,1,0,1,12,1,37,194.2351508,12,5,1.208614381,1.214085466,0
1,1,0,0,1,1,0,36,79.29361849,1,12,1.604291846,1.645825408,0
0,0,1,0,1,1,0,22,66.70614985,1,3,1.853267668,2.07571928,1
1,1,0,0,1,1,0,32,154.3411192,1,0,2.015868106,0.872374844,1
1,0,0,0,1,6,0,32,264.764742,6,2,0.05351943,0.03331053,0
0,0,1,0,1,6,0,30,208.8061851,6,3,3.04160462,3.110076818,0
1,1,1,1,1,1,1,29,175.5246236,1,5,1.019021746,1.01756505,0
0,1,1,1,1,12,0,30,157.4467313,11,1,2.076114091,2.099662224,0
1,1,0,0,1,12,0,28,416.7071747,7,6,3.486852744,3.590444338,0
1,1,1,1,1,12,1,32,207.5246734,9,1,0.073932144,0.054158372,0
1,1,0,0,1,1,0,31,329.5461228,1,1,2.657214169,2.707547411,0
0,1,1,1,0,1,1,26,142.5417175,1,0,1.015282055,0.579609232,1
1,1,0,0,1,12,1,30,77.06225565,11,3,1.699011556,1.753580977,0
0,1,1,1,1,6,0,26,54.69421089,6,9,2.531159143,2.446841689,0
1,1,1,1,1,12,1,26,9.423026461,7,6,1.955051601,2.072586622,0
0,1,0,0,1,1,0,29,34.99031405,1,0,0.721352671,0.931273698,1
1,1,1,0,1,1,1,30,255.5477817,1,12,4.079398614,4.084065022,0
1,0,0,0,1,1,0,22,214.4186737,1,1,1.032386238,0.868340627,1
0,1,1,1,1,1,0,23,174.8732369,1,0,2.331755077,2.602543735,1
1,0,0,0,1,1,0,31,104.6804462,1,1,1.952119241,2.080270203,1
1,1,0,0,1,1,1,32,72.80895436,1,5,0.672266906,0.577586582,0
0,1,1,1,1,6,0,34,75.04623523,5,5,1.432463506,1.510779464,0
1,1,0,1,1,1,1,31,122.0564208,1,0,1.828341255,1.977281163,0
0,1,0,0,1,6,0,29,143.1354885,5,4,0,0,0
1,1,1,1,1,1,1,27,229.4853857,1,0,0.606544998,0,1
1,1,1,0,0,1,0,26,24.50648027,1,5,0.810200055,0.049766887,1
1,1,0,0,1,1,0,29,285.1711889,1,13,1.516261151,1.672182942,0
0,1,1,0,1,1,1,29,299.2647518,1,4,2.170287437,1.984470406,0
1,1,0,1,1,12,1,29,149.5184002,8,6,2.969461288,3.15001036,0
1,1,0,0,1,1,0,35,126.5889217,1,8,2.45838307,2.367257254,0
0,1,0,0,1,1,1,29,170.7172075,1,0,1.571666415,1.263943614,1
0,1,0,0,1,1,0,27,243.447827,1,1,2.318558277,2.264364269,1
1,1,1,1,1,12,1,30,60.24556867,12,6,1.777242846,1.759083308,0
0,1,1,1,1,12,0,31,327.5881203,7,3,0.674952887,0.740973544,0
1,1,0,1,1,1,1,27,118.3453581,1,2,3.411260016,3.324237742,0
1,1,0,1,1,1,1,29,95.66155842,1,1,2.179249856,0.94272186,1
1,1,0,0,1,1,0,31,83.26797897,1,0,1.707726563,1.653354341,0
0,1,1,0,1,12,0,30,357.0469425,11,4,4.098608091,4.057948137,0
0,1,0,0,1,1,0,33,32.28790186,1,4,0.947355393,0.947270875,0
0,0,0,0,1,1,0,28,56.18311465,1,3,2.896515409,2.974811504,0
1,1,0,0,1,1,0,33,68.50358198,1,6,2.611953899,2.66956516,0
0,0,0,0,1,1,0,30,218.893116,1,0,3.621132629,3.449066327,0
1,0,1,0,1,12,1,29,73.06104519,8,2,1.670239674,1.775960235,0
1,1,0,0,1,1,0,32,39.93783768,1,4,4.256038926,4.214914098,0
0,1,1,1,1,6,1,27,292.2286091,4,0,1.047561269,1.087669845,0
0,1,0,0,0,12,0,27,327.3537307,12,7,2.18816154,2.029419097,0
0,1,0,0,1,1,0,30,186.371959,1,1,2.4279509,2.484467192,0
0,1,0,0,1,1,0,29,121.4615688,1,1,1.093907676,0.609348045,1
0,1,1,0,1,1,0,26,231.1658885,1,4,0.643748107,0.871314836,0
1,1,1,0,1,12,0,30,174.4305871,11,9,1.696863335,1.60124105,0
0,0,1,0,0,6,0,33,53.12427006,5,0,2.993532299,2.91093367,0
1,0,1,1,1,12,0,29,171.7258461,12,9,2.669411403,2.791069086,0
0,1,0,0,0,1,0,29,241.7016741,1,4,1.690379652,1.595064889,0
1,1,1,1,1,12,1,33,235.6397654,9,6,1.538505969,1.61770149,0
1,1,0,0,1,1,0,27,184.1724487,1,2,1.381842147,1.588576366,1
0,1,1,1,1,12,1,27,111.265846,12,5,0.792885095,0.876396734,0
0,1,0,0,1,1,0,32,230.0573528,1,2,1.356763305,1.304960787,0
0,1,1,0,1,1,0,34,46.49219971,1,0,1.010771302,0,1
1,1,0,0,1,1,0,25,153.1431782,1,0,0.342664167,0,1
1,1,1,0,1,6,0,30,53.38598407,6,1,0.275542204,0.248095009,0
0,1,1,1,1,12,1,31,186.373166,12,3,3.019506675,2.990915299,0
1,1,1,1,1,6,0,32,50.6929849,6,1,0.894201089,0.742429766,0
0,1,1,0,0,12,1,29,271.3039592,11,1,1.055493356,0.968009833,0
0,1,1,0,0,6,1,29,141.1387961,3,2,0.540568505,0.3361079,0
1,1,1,0,1,1,0,31,180.1313719,1,5,3.80716382,3.747251967,0
1,1,0,0,1,1,0,23,131.1115715,1,0,1.69263189,2.279115002,1
0,1,0,0,0,1,0,32,186.5856443,1,0,0.981601,0,1
0,0,0,0,1,1,0,26,7.15998865,1,4,0.683155193,0.647429215,0
1,1,0,0,1,1,1,25,139.9846921,1,0,2.3757179,1.831001798,1
0,1,0,0,1,12,0,31,318.5367589,11,7,2.634485927,2.607430099,0
0,1,1,0,1,12,0,31,279.5139878,12,1,1.547163357,1.53752241,0
0,1,1,0,1,1,0,25,111.9537942,1,1,2.125158406,2.272613082,1
1,1,0,0,1,6,1,27,268.117272,6,2,2.21196037,2.28787549,0
0,1,1,1,1,12,0,30,109.0796443,12,2,3.21703783,3.272678396,0
1,1,0,0,1,12,0,31,252.6435765,8,4,2.710671452,2.696432781,0
1,1,0,0,1,1,0,34,247.7918173,1,8,1.084722803,0.992876663,0
1,0,1,1,1,1,0,24,277.0356467,1,1,1.156901981,0.136658094,1
1,1,1,1,1,1,0,31,259.2449021,1,3,1.77847795,1.621739043,0
1,1,0,0,1,1,1,27,33.34895705,1,0,1.833054966,0.006397988,1
0,1,0,0,1,1,0,25,111.8457893,1,8,3.055354438,3.155389337,0
0,1,1,1,1,12,1,31,191.1440194,7,5,3.826136663,3.762327666,0
1,1,1,0,1,1,1,34,190.7505074,1,1,0,0,0
1,1,0,0,0,1,0,33,32.55688604,1,15,2.580107042,2.764951972,0
1,1,1,0,1,1,1,32,207.1662091,1,3,2.954807737,2.969610872,0
0,0,0,0,1,1,0,30,82.25533188,1,2,1.053708659,0.832012912,0
1,1,0,0,1,1,0,23,48.9380023,1,1,0.531235138,0.050790902,1
1,1,0,0,1,1,0,36,146.1815571,1,5,3.8538845,3.818110227,0
0,1,0,0,1,6,0,33,27.91190797,6,1,2.016015623,2.157848035,0
0,1,1,1,1,1,0,21,41.07207142,1,1,1.422052092,0.952895401,1
0,1,0,0,1,1,0,26,217.2981721,1,1,1.387079837,1.533598209,0
1,1,1,0,1,12,0,29,87.52140086,11,6,2.31250683,2.209283223,0
0,1,0,1,1,1,1,36,103.1736838,1,4,0.773241216,0.923840975,0
0,1,0,0,1,12,0,30,291.2141628,11,5,3.074747085,3.146814737,0
1,1,1,1,1,6,1,32,296.0260169,6,1,0.993323069,1.072998866,0
0,1,0,0,1,6,1,27,196.6854613,6,1,1.069101682,0.992996345,0
0,1,1,0,1,1,0,30,44.27186794,1,2,1.114341555,0.33953285,1
1,1,1,1,1,12,0,31,14.89991323,12,7,1.820575311,1.805374468,0
1,0,1,0,0,1,1,28,22.27153235,1,1,0.783106019,0.518711454,1
0,0,0,0,1,1,0,27,185.2108853,1,6,0.740677725,0.672147518,0
0,1,0,0,1,12,1,30,85.58139187,9,17,2.661745054,2.565624969,0
0,1,1,1,1,12,0,26,215.4765759,9,7,2.454228205,2.229717953,0
1,1,0,0,1,1,1,28,79.53083111,1,4,1.226166327,1.23289499,0
0,1,1,0,1,12,0,26,132.3395536,12,9,3.381583407,3.44356273,0
0,1,1,1,1,1,0,30,95.80402094,1,4,1.339230954,1.419077275,0
0,0,0,0,1,1,0,26,119.3399274,1,2,1.773829962,0.845133511,1
1,0,1,0,1,6,0,30,67.21429782,6,1,0.141387214,0.278048706,0
0,1,0,0,1,1,0,32,166.0041159,1,7,3.723612213,3.694481694,0
0,1,0,0,0,12,1,32,27.65726189,8,1,1.623602921,1.719971112,0
0,1,0,1,1,6,0,34,111.643964,6,3,1.751059025,1.796576114,0
0,1,0,0,1,1,0,32,158.3654744,1,2,1.890616016,1.941822981,0
0,1,0,0,1,1,1,37,61.26257393,1,3,0.442847825,0.450495667,0
1,0,0,1,1,6,1,27,268.4628027,6,5,1.051825317,0.880933672,0
0,1,0,0,1,1,0,31,19.29587521,1,7,3.371847593,3.434645869,0
1,1,1,0,1,6,0,33,264.0094278,6,7,1.424129645,1.360733637,0
1,1,0,0,1,1,1,32,28.94454578,1,2,2.846286476,2.780503706,0
0,1,1,0,1,1,0,29,172.3738142,1,0,2.050958637,2.214583282,0
1,1,1,1,1,6,1,30,9.791781914,6,2,2.844360705,2.969156734,0
1,0,0,0,1,1,0,30,74.92218351,1,2,2.218290266,2.182237972,0
0,1,0,0,1,1,1,28,178.8156291,1,1,1.32234259,0.674884391,1
0,1,0,0,1,1,0,31,321.2138581,1,6,2.5153684,2.349060012,0
1,1,1,1,1,1,1,29,411.7113086,1,1,0.523272755,0.514994526,0
1,1,0,0,0,6,0,37,362.6004772,6,10,2.245480011,2.293716978,0
1,1,0,0,1,12,0,27,212.1872031,10,3,0.063540535,0,0
0,0,0,0,1,1,0,32,8.000736296,1,1,0.8811931,0.860618691,1
1,1,1,0,0,1,1,27,87.36907278,1,1,1.605157189,0.54505938,1
0,1,0,0,1,1,1,30,87.42897102,1,2,1.356641183,1.422662713,1
0,1,1,0,1,12,1,31,163.2608048,10,2,0.233121008,0.307719445,0
0,1,1,1,0,1,0,31,4.791323834,1,3,1.219282804,1.073094101,0
1,1,1,0,1,1,1,33,22.63539514,1,1,1.819346722,1.80381389,0
1,0,0,0,1,1,0,29,107.6822362,1,1,1.862062157,1.070964849,1
0,1,1,1,1,12,1,28,113.2991157,12,4,3.062514642,3.158108348,0
0,1,1,1,1,12,1,30,131.6627022,9,5,0,0.089706843,0
1,0,1,0,1,1,0,36,304.3332706,1,2,3.738860021,3.776367611,0
0,1,0,0,1,12,0,30,165.9777422,12,3,2.88173106,2.909448404,0
0,1,1,1,1,12,1,35,302.8785347,9,4,4.661961248,4.733059077,0
1,1,1,0,1,1,0,31,125.6193597,1,4,0.407797309,0.437144689,0
0,1,1,0,1,12,1,29,42.2453251,12,12,3.260814036,3.395352687,0
1,1,0,0,1,1,0,25,294.9544805,1,11,1.830976597,2.046696815,0
0,1,0,0,1,6,0,29,61.65882573,6,8,0.405714423,0.294920919,0
1,1,0,0,0,1,0,24,43.79864281,1,0,0.398887827,0.336138998,1
1,0,0,0,1,1,0,30,300.3298734,1,0,0.984061521,0.909779226,1
1,1,1,1,0,6,1,30,378.6654364,6,3,2.50703025,2.710478271,0
0,1,0,0,1,1,0,28,60.4220516,1,0,0.956177999,0.326426966,1
0,1,1,1,1,1,0,33,208.2639473,1,3,0.705005377,0.70114714,0
0,1,1,1,1,12,0,27,175.8822374,6,6,1.08848719,1.0890611,0
1,1,0,0,1,1,1,28,169.0003692,1,1,2.288697091,2.811712259,1
0,0,0,0,1,1,0,30,353.8948322,1,4,1.02573357,0.882147782,0
0,1,0,0,1,1,0,30,33.64768713,1,1,0.706398949,0.616059341,0
1,1,0,0,1,6,0,24,233.8218195,6,1,2.465613921,2.50528151,1
1,1,0,1,1,12,1,28,42.11737765,11,5,2.203082505,2.149543482,0
0,1,0,0,1,1,0,31,104.9170411,1,0,1.195440275,0.247636479,1
0,1,0,1,0,1,1,28,249.4466494,1,1,1.513745996,0,1
0,0,0,0,1,1,0,31,103.5294649,1,6,1.495868337,1.493340107,0
1,1,1,0,1,1,0,30,127.8790626,1,1,3.990446564,4.025627031,0
0,0,1,0,1,12,1,31,26.64347603,9,2,2.766979897,2.682790023,0
1,1,0,0,1,1,0,28,309.4325948,1,2,2.971051137,2.944886831,0
1,1,1,0,1,12,0,24,70.67150093,12,7,2.486675839,2.487343645,0
0,1,1,0,1,1,0,31,118.709709,1,13,2.207351717,2.234250437,0
0,1,1,0,1,1,1,33,127.3260943,1,3,2.456624434,2.384780243,0
1,1,0,0,1,1,1,34,123.6353489,1,4,0.933508219,0.926731344,0
0,1,1,1,1,1,1,25,5.764080609,1,1,1.518795894,1.917871891,1
1,1,0,1,1,1,0,33,31.4495601,1,3,3.296790937,3.158237281,0
1,1,1,1,0,6,0,28,228.0989391,6,1,0.953294737,0,1
0,1,0,0,1,12,1,32,130.9814175,11,5,2.301247099,2.274572869,0
1,1,0,0,1,1,1,30,104.2683096,1,0,1.850264158,1.494718994,1
1,0,1,0,1,6,0,29,109.9986514,6,5,2.093533031,2.027589676,0
1,1,1,0,1,6,0,33,76.6957514,4,7,3.487659499,3.445422849,0
0,1,1,0,1,6,1,29,208.4174637,5,1,1.400368496,1.298426407,0
1,1,1,1,1,12,1,32,73.31758254,12,5,3.287171952,3.226253997,0
1,1,1,1,1,12,0,30,209.2103335,11,2,2.582536887,2.573796804,0
1,1,1,0,1,1,1,26,300.9279875,1,2,2.383708054,2.214755247,0
0,1,1,0,1,1,0,27,372.1845734,1,6,3.100581034,3.115990232,0
1,1,1,1,1,12,0,35,211.4301419,12,1,2.728726609,2.729694408,0
1,1,1,1,1,1,0,23,191.8180628,1,1,1.553378243,1.120284945,1
0,1,0,0,1,1,0,28,109.4925236,1,1,1.825684502,1.869340061,0
0,1,1,1,1,12,1,34,169.3236577,12,1,2.077615086,2.18257121,0
1,1,1,1,1,1,1,33,328.6909774,1,12,2.342231441,2.273536285,0
0,1,0,0,1,6,1,35,44.28688226,6,1,0.499382845,0.598531929,0
1,1,0,0,0,1,0,27,56.17861385,1,0,1.982849866,1.338570577,1
0,1,1,0,1,1,0,25,49.27855135,1,3,1.419160804,1.279736013,1
1,1,1,1,1,1,1,30,94.79606251,1,1,1.106102315,0.323180107,1
1,0,0,1,1,1,0,30,301.233399,1,1,3.292075161,3.269879268,0
0,1,1,1,1,6,0,30,26.05853558,6,4,1.53389056,1.501382714,0
1,0,0,0,1,1,0,27,225.3294006,1,2,0.583166191,0.856076808,1
1,1,0,0,1,1,1,30,30.37275544,1,1,2.078957684,2.570451395,1
0,0,0,0,0,1,0,25,24.76110956,1,9,3.326047984,3.367505078,0
1,1,0,0,1,1,1,27,133.57018,1,2,3.102028978,3.161236499,0
0,1,0,0,1,1,0,24,53.78760782,1,4,1.084734544,1.08190271,0
0,1,1,0,0,12,0,32,182.5487,12,2,1.568822025,1.503662695,0
0,1,1,0,1,1,0,32,211.8141699,1,3,2.270248901,2.155382619,0
0,0,1,0,1,12,0,33,19.65945959,12,5,1.495574354,1.398550684,0
0,1,0,0,1,1,0,25,70.56509892,1,1,1.112718186,0.716620965,1
0,1,1,0,1,1,0,27,47.06427625,1,2,1.606106582,1.739639597,1
0,0,1,0,1,6,1,30,308.9620431,3,8,1.375239245,1.447278554,0
1,1,1,1,1,12,1,32,59.91785746,11,4,0.529620292,0.503589355,0
0,1,0,0,1,1,0,25,22.48366876,1,0,1.270843072,0.778387677,1
1,1,1,1,1,6,1,33,211.362413,6,2,0.033474081,0.043083008,0
1,1,0,0,0,6,1,29,116.3451247,6,4,1.947272984,1.843211555,0
1,1,1,0,1,12,1,31,40.39625202,12,2,2.558091173,2.687686254,0
1,1,0,0,1,1,0,26,154.7927783,1,0,1.64521634,1.794744016,1
0,1,1,1,1,6,1,30,31.0558168,6,9,2.769079912,2.744666071,0
0,1,0,0,1,1,0,21,215.3961709,1,0,0.698017013,0.985245692,1
1,1,1,0,1,1,0,28,118.6067923,1,4,2.170308446,2.18873771,0
0,1,1,1,1,12,1,33,64.82988507,11,1,2.852659818,2.809402138,0
0,0,1,0,1,6,0,33,42.89043316,6,4,1.466807085,1.292824004,0
